member,party,state,chamber,raised,spent,cash_on_hand,debts
Tom Tiffany,Republican,Wisconsin,House,1037497.0,801275.0,358941.0,0.0
Tommy Tuberville,Republican,Alabama,Senate,881479.0,900339.0,154620.0,162914.0
Tony Cárdenas,Democratic,California,House,1393256.0,1313142.0,609903.0,0.0
Tony Gonzales,Republican,Texas,House,3851900.0,2657423.0,1225835.0,0.0
Tracey Mann,Republican,Kansas,House,1144309.0,313482.0,1107024.0,197611.0
Trent Kelly,Republican,Mississippi,House,959008.0,848201.0,339101.0,0.0
Trey Hollingsworth,Republican,Indiana,House,354993.0,192082.0,835855.0,576083.0
Troy Balderson,Republican,Ohio,House,1752943.0,801443.0,994549.0,0.0
Troy Carter,Democratic,Louisiana,House,2904436.0,2667808.0,615058.0,94686.0
Troy Nehls,Republican,Texas,House,1247447.0,798676.0,467977.0,5726.0
Val Demings,Democratic,Florida,House,64682883,58806664,6647641.0,0.0
Van Taylor,Republican,Texas,House,2353035.0,2368614.0,6919.0,1088192.0
Vernon Buchanan,Republican,Florida,House,3664655.0,1728747.0,2008993.0,0.0
Veronica Escobar,Democratic,Texas,House,1166742.0,940660.0,510937.0,0.0
Vicente Gonzalez,Democratic,Texas,House,2492127.0,3042545.0,820074.0,0.0
Vicky Hartzler,Republican,Missouri,House,2992372.0,3572065.0,65738.0,57607.0
Victoria Spartz,Republican,Indiana,House,3612075.0,2138185.0,1583013.0,1137000.0
Virginia Foxx,Republican,North Carolina,House,1929971.0,1651369.0,2619486.0,0.0
Warren Davidson,Republican,Ohio,House,871656.0,906552.0,369819.0,0.0
William Timmons,Republican,South Carolina,House,892064.0,823955.0,76799.0,391742.0
Young Kim,Republican,California,House,7900497.0,7380035.0,928803.0,94940.0
Yvette Clarke,Democratic,New York,House,684268.0,662375.0,93513.0,49480.0
Yvette Herrell,Republican,New Mexico,House,3777731.0,2746661.0,1085613.0,0.0
Zoe Lofgren,Democratic,California,House,1679466.0,2103190.0,736813.0,0.0
John Curtis,Republican,Utah,House,1898707.0,1670631.0,579381.0,0.0
John Garamendi,Democratic,California,House,1012953.0,996030.0,1128045.0,0.0
John Hickenlooper,Democratic,Colorado,Senate,864182.0,1205871.0,1300393.0,0.0
John Hoeven,Republican,North Dakota,Senate,2941980.0,2775658.0,2263638.0,100000.0
John Joyce,Republican,Pennsylvania,House,1373506.0,395221.0,1697167.0,906423.0
John Katko,Republican,New York,House,1517310.0,827000.0,962371.0,0.0
John Kennedy,Republican,Louisiana,Senate,28119082,18276565,15530074,0.0
John Larson,Democratic,Connecticut,House,1614911.0,1506215.0,526071.0,11992.0
John Moolenaar,Republican,Michigan,House,1992376.0,2034990.0,568532.0,33345.0
John Rose,Republican,Tennessee,House,1442822.0,573729.0,1323467.0,1997460.0
John Rutherford,Republican,Florida,House,710380.0,548875.0,268442.0,0.0
John Sarbanes,Democratic,Maryland,House,177476.0,582519.0,631740.0,0.0
John Thune,Republican,South Dakota,Senate,6770674.0,2763217.0,17419927,0.0
John Yarmuth,Democratic,Kentucky,House,190197.0,236256.0,123787.0,132262.0
Jon Ossoff,Democratic,Georgia,Senate,10260242,12275027,2316948.0,0.0
Jon Tester,Democratic,Montana,Senate,2335296.0,900741.0,2480084.0,0.0
Joni Ernst,Republican,Iowa,Senate,1642695.0,1169059.0,1002050.0,0.0
Joseph Morelle,Democratic,New York,House,1775246.0,1262551.0,672870.0,0.0
Joe Neguse,Democratic,Colorado,House,2099507.0,1148462.0,1844549.0,0.0
Josh Gottheimer,Democratic,New Jersey,House,7720264.0,2045198.0,14024163,0.0
Josh Harder,Democratic,California,House,6193616.0,5122224.0,4541154.0,0.0
Josh Hawley,Republican,Missouri,Senate,11028757,8426682.0,4040790.0,0.0
Joyce Beatty,Democratic,Ohio,House,2027765.0,845770.0,2138584.0,2500.0
Juan Vargas,Democratic,California,House,905730.0,582443.0,393026.0,0.0
Judy Chu,Democratic,California,House,1275434.0,854516.0,3202686.0,2705.0
Julia Brownley,Democratic,California,House,1998752.0,2309786.0,2802396.0,0.0
Julia Letlow,Republican,Louisiana,House,2620536.0,1458271.0,1162265.0,0.0
Kai Kahele,Democratic,Hawaii,House,463256.0,622946.0,33696.0,0.0
Kamala Harris,Democratic,California,Senate,0.0,0.0,0.0,0.0
Karen Bass,Democratic,California,House,507962.0,791486.0,1042340.0,0.0
Kat Cammack,Republican,Florida,House,2091623.0,1708461.0,415015.0,0.0
Katherine Clark,Democratic,Massachusetts,House,2002236.0,2104697.0,1190314.0,0.0
Kathleen Rice,Democratic,New York,House,466705.0,584768.0,71781.0,0.0
Kathy Castor,Democratic,Florida,House,1432885.0,880523.0,975764.0,0.0
Kathy Manning,Democratic,North Carolina,House,2692609.0,1874537.0,1130411.0,250000.0
Katie Porter,Democratic,California,House,21441693,15946876,15762568,0.0
Kay Granger,Republican,Texas,House,1846695.0,1623165.0,534195.0,0.0
Kelly Armstrong,Republican,North Dakota,House,1794452.0,1370986.0,729173.0,200000.0
Ken Buck,Republican,Colorado,House,1375514.0,1142475.0,523705.0,0.0
Ken Calvert,Republican,California,House,3077072.0,2371953.0,1115717.0,11787.0
Kevin Brady,Republican,Texas,House,273024.0,730606.0,645085.0,0.0
Kevin Cramer,Republican,North Dakota,Senate,458054.0,324173.0,352272.0,0.0
Kevin Hern,Republican,Oklahoma,House,1167360.0,771398.0,725359.0,775000.0
Kevin McCarthy,Republican,California,House,24791538,22086344,7507326.0,0.0
Kim Schrier,Democratic,Washington,House,8163575.0,7548005.0,2333322.0,0.0
Kirsten Gillibrand,Democratic,New York,Senate,3301708.0,651381.0,4392753.0,0.0
Kurt Schrader,Democratic,Oregon,House,2244429.0,4680564.0,80364.0,0.0
Kweisi Mfume,Democratic,Maryland,House,452659.0,244657.0,509104.0,0.0
Kyrsten Sinema,Democratic,Arizona,Senate,7112616.0,1691482.0,7876875.0,0.0
Lance Gooden,Republican,Texas,House,814098.0,882850.0,383782.0,0.0
Larry Bucshon,Republican,Indiana,House,1296300.0,888047.0,615172.0,2362.0
Lauren Underwood,Democratic,Illinois,House,6175563.0,3787920.0,2925541.0,0.0
Lauren Boebert,Republican,Colorado,House,6227355.0,4659808.0,1924341.0,0.0
Lee Zeldin,Republican,New York,House,766924.0,922007.0,16354.0,0.0
Linda Sánchez,Democratic,California,House,1403194.0,1298816.0,945360.0,0.0
Lindsey Graham,Republican,South Carolina,Senate,6695582.0,5371524.0,13815515,0.0
Lisa Blunt Rochester,Democratic,Delaware,House,2543199.0,1746273.0,1760692.0,346040.0
Lisa McClain,Republican,Michigan,House,1189244.0,337384.0,900015.0,0.0
Lisa Murkowski,Republican,Alaska,Senate,8559805.0,6057395.0,3526355.0,0.0
Liz Cheney,Republican,Wyoming,House,0.0,0.0,0.0,0.0
Lizzie Fletcher,Democratic,Texas,House,3412257.0,1217624.0,2255729.0,0.0
Lloyd Doggett,Democratic,Texas,House,1131363.0,1239741.0,5097097.0,0.0
Lloyd Smucker,Republican,Pennsylvania,House,1407018.0,825428.0,1278365.0,49208.0
Lois Frankel,Democratic,Florida,House,1117075.0,827680.0,1481566.0,0.0
Lori Trahan,Democratic,Massachusetts,House,1812003.0,766481.0,1331485.0,0.0
Lou Correa,Democratic,California,House,1174363.0,632506.0,1687557.0,25467.0
Louis B. Gohmert Jr.,Republican,Texas,House,206591.0,280040.0,20251.0,0.0
Lucille Roybal-Allard,Democratic,California,House,168660.0,159810.0,47393.0,0.0
Lucy McBath,Democratic,Georgia,House,5042351.0,4374448.0,807831.0,0.0
Madeleine Dean,Democratic,Pennsylvania,House,1727651.0,1120169.0,1182075.0,0.0
Madison Cawthorn,Republican,North Carolina,House,3965149.0,4058668.0,12211.0,0.0
Maggie Hassan,Democratic,New Hampshire,Senate,30914830,28380992,4813508.0,0.0
Marc Veasey,Democratic,Texas,House,1652257.0,1283856.0,836744.0,0.0
Marco Rubio,Republican,Florida,Senate,36709285,30153111,9631856.0,0.0
Marcy Kaptur,Democratic,Ohio,House,2855041.0,2478802.0,1148634.0,0.0
Maria Cantwell,Democratic,Washington,Senate,686777.0,902774.0,179611.0,2171350.0
Maria Salazar,Republican,Florida,House,4516392.0,2613085.0,1924564.0,78856.0
Mariannette Miller-Meeks,Republican,Iowa,House,4225010.0,2617278.0,2060145.0,186500.0
Marie Newman,Democratic,Illinois,House,1449001.0,1530297.0,21544.0,10642.0
Marilyn Strickland,Democratic,Washington,House,1718171.0,827196.0,923000.0,50000.0
Mario Diaz-Balart,Republican,Florida,House,1584197.0,959585.0,1557856.0,0.0
Marjorie Taylor Greene,Republican,Georgia,House,11571029,9713658.0,2228902.0,950000.0
Mark Amodei,Republican,Nevada,House,924763.0,1081270.0,167808.0,9000.0
Mark Desaulnier,Democratic,California,House,566400.0,442749.0,605038.0,0.0
Mark Green,Republican,Tennessee,House,1447075.0,1544369.0,176911.0,0.0
Mark Kelly,Democratic,Arizona,Senate,73140886,61357281,13186127,0.0
Mark Pocan,Democratic,Wisconsin,House,1000923.0,850344.0,1001591.0,0.0
Mark Takano,Democratic,California,House,1123015.0,731370.0,555609.0,0.0
Mark Warner,Democratic,Virginia,Senate,2563285.0,729334.0,2222361.0,0.0
Markwayne Mullin,Republican,Oklahoma,House,4466785.0,4642810.0,434285.0,1230810.0
Marsha Blackburn,Republican,Tennessee,Senate,2561756.0,1070457.0,3172197.0,0.0
Martin Heinrich,Democratic,New Mexico,Senate,1403676.0,984961.0,890650.0,0.0
Mary Gay Scanlon,Democratic,Pennsylvania,House,1434559.0,1037461.0,615776.0,250000.0
Mary Miller,Republican,Illinois,House,1869196.0,1679404.0,308492.0,0.0
Mary Peltola,Democratic,Alaska,House,4163482.0,1897681.0,2265800.0,0.0
Matt Cartwright,Democratic,Pennsylvania,House,4604399.0,3511552.0,1263713.0,242800.0
Matt Gaetz,Republican,Florida,House,5929700.0,6878447.0,657078.0,0.0
Matt Rosendale,Republican,Montana,House,1977326.0,1103300.0,1136865.0,0.0
Maxine Waters,Democratic,California,House,1117733.0,1169917.0,268683.0,45293.0
Mayra Flores,Republican,Texas,House,3305211.0,2505998.0,799212.0,0.0
Mazie K. Hirono,Democratic,Hawaii,Senate,640039.0,647254.0,836625.0,0.0
Melanie Stansbury,Democratic,New Mexico,House,3211215.0,2881729.0,380609.0,0.0
Michael Bennet,Democratic,Colorado,Senate,18086343,13713611,4898614.0,374819.0
Michael Burgess,Republican,Texas,House,1159191.0,1066159.0,235528.0,0.0
Michael Cloud,Republican,Texas,House,975508.0,914954.0,302925.0,0.0
Michael Guest,Republican,Mississippi,House,1240555.0,1378472.0,144151.0,0.0
Michael McCaul,Republican,Texas,House,2265809.0,1896999.0,376543.0,0.0
Michael Turner,Republican,Ohio,House,1349285.0,703942.0,722683.0,0.0
Michael San Nicolas,Democratic,Guam,Senate,13025.0,17683.0,16205.0,14303.0
Michael Waltz,Republican,Florida,House,2728460.0,2447258.0,1165661.0,0.0
Michelle Fischbach,Republican,Minnesota,House,1515656.0,1140241.0,413364.0,0.0
Michelle Steel,Republican,California,House,6258368.0,4493801.0,1921641.0,470573.0
Mike Bost,Republican,Illinois,House,1500937.0,995497.0,919230.0,0.0
Mike Braun,Republican,Indiana,Senate,1269505.0,559052.0,1261125.0,341069.0
Mike Carey,Republican,Ohio,House,2181022.0,2025581.0,155440.0,0.0
Mike Crapo,Republican,Idaho,Senate,4182600.0,3899937.0,4365054.0,0.0
Mike Rogers,Republican,Alabama,House,1788743.0,1368622.0,922354.0,0.0
